Name,State,Category,Policy_Incentive_Type,Created,Last_Updated
Phoenix City - Municipal Code 232 Residential Solar PV System Permit,AZ,Regulatory Policy,Solar/Wind Permitting Standards,10/25/2016,8/16/2023
Pima County - Solar & Wind Permitting Requirements,AZ,Regulatory Policy,Solar/Wind Permitting Standards,10/27/2016,8/16/2023
Alternative Fuel Vehicles Tax Exemption,AZ,Financial Incentive,Personal Tax Exemption,5/20/2021,6/2/2023
Salt River Project - Business EV Charger Rebate,AZ,Financial Incentive,Rebate Program,7/1/2021,6/13/2025
Tucson Electric Power - Home EV Chargers Rebate,AZ,Financial Incentive,Rebate Program,7/1/2021,6/9/2025
Tucson Electric Power - Smart EV Charging Program,AZ,Financial Incentive,Rebate Program,7/1/2021,6/9/2025
Arizona   Home Electrification and Appliance Rebate (HEAR) Program,AZ,Financial Incentive,Rebate Program,12/12/2024,12/12/2024
Tucson Electric Power - Energy Storage Rewards Program,AZ,Financial Incentive,Performance-Based Incentive,7/14/2025,7/14/2025
Santa Clara Water & Sewer - Solar Water Heating Program,CA,Financial Incentive,Leasing Program,1/1/2000,8/8/2024
City of San Diego - Sustainable Building Policy,CA,Regulatory Policy,Energy Standards for Public Buildings,11/16/2004,6/23/2024
City of Sacramento - Solar Access Regulations,CA,Regulatory Policy,Solar/Wind Access Policy,1/1/2000,10/30/2023
City of San Diego - Development Regulations,CA,Regulatory Policy,Solar/Wind Access Policy,1/1/2000,10/30/2023
Net Metering / Net Billing,CA,Regulatory Policy,Net Metering,1/1/2000,2/28/2025
California Solar Easement and the Solar Shade Control Act,CA,Regulatory Policy,Solar/Wind Access Policy,1/1/2000,10/22/2023
City of Santa Monica - Green Power Purchasing through Clean Power Alliance Utility,CA,Regulatory Policy,Green Power Purchasing,1/1/2000,12/13/2024
Solar Contractor Licensing,CA,Regulatory Policy,Solar/Wind Contractor Licensing,1/1/2000,12/19/2024
Public Benefits Funds for Renewables and Efficiency,CA,Regulatory Policy,Public Benefits Fund,1/1/2000,7/27/2021
Fuel Mix Disclosure,CA,Regulatory Policy,Generation Disclosure,1/1/2000,8/10/2023
Self-Generation Incentive Program,CA,Financial Incentive,Rebate Program,4/16/2001,5/7/2025
Property Tax Exclusion for Solar Energy Systems and Solar Plus Storage System,CA,Financial Incentive,Property Tax Incentive,4/19/2001,3/18/2025
Interconnection Standards,CA,Regulatory Policy,Interconnection,6/18/2003,6/4/2024
Renewables Portfolio Standard,CA,Regulatory Policy,Renewables Portfolio Standard,9/3/2002,11/26/2024
City of Oakland - Solar Access Ordinance,CA,Regulatory Policy,Solar/Wind Access Policy,8/11/2004,10/30/2023
San Diego County - Green Building Program,CA,Financial Incentive,Green Building Incentive,8/11/2004,7/21/2022
City of Santa Cruz - Solar Access Ordinance,CA,Regulatory Policy,Solar/Wind Access Policy,8/11/2004,10/24/2023
City of Sebastopol - Solar Access,CA,Regulatory Policy,Solar/Wind Access Policy,8/11/2004,10/30/2023
San Diego County - Solar Zoning Regulations,CA,Regulatory Policy,Solar/Wind Permitting Standards,8/11/2004,5/24/2024
Marin County - Solar Easement and Access Laws,CA,Regulatory Policy,Solar/Wind Access Policy,8/13/2004,10/22/2023
California Solar Rights Act,CA,Regulatory Policy,Solar/Wind Access Policy,1/1/2000,10/22/2023
PG&E - Residential Energy Savings Rebate Programs,CA,Financial Incentive,Rebate Program,4/26/2006,12/6/2024
Pacific Power - wattsmart Business,CA,Financial Incentive,Rebate Program,4/26/2006,5/15/2024
SDG&E - Residential Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,4/26/2006,5/1/2024
California Energy Design Assistance (CEDA),CA,Financial Incentive,Rebate Program,5/3/2006,5/23/2024
SCE - Multi-Family Residential Energy Efficiency Programs,CA,Financial Incentive,Rebate Program,5/3/2006,8/3/2023
SoCalGas - Residential Energy Efficiency Rebate Programs,CA,Financial Incentive,Rebate Program,5/3/2006,8/3/2023
SoCalGas - Non-Residential Energy Efficiency Rebate Programs,CA,Financial Incentive,Rebate Program,5/3/2006,8/3/2023
California Appliance and Equipment Energy Efficiency Standards,CA,Regulatory Policy,Appliance/Equipment Efficiency Standards,6/1/2006,10/25/2024
Alameda Municipal Power - Commercial New Construction Rebate Program,CA,Financial Incentive,Rebate Program,6/19/2006,5/20/2024
Alameda Municipal Power - Commercial Rebate Program,CA,Financial Incentive,Rebate Program,6/19/2006,5/20/2024
Anaheim Public Utilities - Residential Home Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,6/19/2006,8/4/2023
Anaheim Public Utilities - Commercial Energy Efficiency Rebate Programs,CA,Financial Incentive,Rebate Program,6/19/2006,8/4/2023
Anaheim Public Utilities - Small Business Energy & Water Direct Install Program,CA,Financial Incentive,Rebate Program,6/22/2006,8/4/2023
Burbank Water & Power - Energy Solutions Business Rebate Program,CA,Financial Incentive,Rebate Program,6/22/2006,5/10/2024
Burbank Water & Power - Business Bucks Energy Efficiency Grant Program,CA,Financial Incentive,Grant Program,6/22/2006,8/4/2023
Burbank Water & Power - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,6/26/2006,8/4/2023
Burbank Water & Power - Green Building Incentive Program,CA,Financial Incentive,Green Building Incentive,6/26/2006,8/8/2024
City of Lompoc Utilities - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,6/26/2006,10/11/2023
City of Lompoc Utilities - Commercial Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,6/26/2006,10/4/2023
City of Palo Alto Utilities - Commercial Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,6/27/2006,6/2/2025
City of Palo Alto Utilities - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,6/27/2006,6/30/2025
Glendale Water and Power - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,6/27/2006,1/22/2024
IID Energy - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,7/6/2006,8/8/2024
Lassen Municipal Utility District - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,7/7/2006,5/15/2024
Green Building Action Plan for State Facilities,CA,Regulatory Policy,Energy Standards for Public Buildings,7/12/2006,6/18/2024
Lodi Electric Utility - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,7/19/2006,6/3/2025
Building Energy Code and Solar Requirement,CA,Regulatory Policy,Building Energy Code,7/26/2006,6/18/2023
LADWP - Non-Residential Energy Efficiency Incentive Program,CA,Financial Incentive,Rebate Program,7/27/2006,8/11/2023
LADWP - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,7/27/2006,8/11/2023
Modesto Irrigation District - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,7/28/2006,8/11/2023
Modesto Irrigation District - Commercial Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,7/28/2006,8/11/2023
Pasadena Water and Power - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,7/28/2006,8/11/2023
Riverside Public Utilities - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,7/31/2006,8/11/2023
Riverside Public Utilities - Commercial Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,7/31/2006,5/21/2024
Roseville Electric - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,8/1/2006,1/30/2024
Roseville Electric - Commercial Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,8/1/2006,1/29/2024
SMUD - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,8/2/2006,5/7/2024
SMUD - Commercial Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,8/2/2006,5/7/2024
Silicon Valley Power - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,8/2/2006,6/10/2025
Silicon Valley Power - Commercial Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,8/3/2006,8/4/2023
Truckee Donner Public Utility District - Energy Conservation Rebate Program,CA,Financial Incentive,Rebate Program,8/3/2006,8/11/2023
Turlock Irrigation District - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,8/3/2006,8/11/2023
Plumas-Sierra REC - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,9/25/2006,6/3/2025
City of Berkeley - Green Building Standards for City Owned and Operated Projects,CA,Regulatory Policy,Energy Standards for Public Buildings,3/14/2007,6/17/2024
SoCalGas - Multi-Family Residential Rebate Program,CA,Financial Incentive,Rebate Program,5/2/2007,12/6/2024
SoCalGas - Non-Residential On-Bill Financing Program,CA,Financial Incentive,Loan Program,5/3/2007,8/3/2023
City of San Francisco - Green Building Code,CA,Regulatory Policy,Building Energy Code,8/28/2008,7/18/2024
IID Energy - Commercial Rebate Program,CA,Financial Incentive,Rebate Program,10/2/2008,8/4/2023
Modesto Irrigation District - Commercial New Construction Rebate Program,CA,Financial Incentive,Rebate Program,1/21/2009,5/15/2024
Pasadena Water and Power - Commercial Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,2/11/2009,8/11/2023
Pacific Power - Residential Energy Efficiency Rebate Programs,CA,Financial Incentive,Rebate Program,4/1/2009,8/11/2023
Sonoma County Energy Independence Program (SCEIP),CA,Financial Incentive,PACE Financing,4/7/2009,1/15/2024
Alameda Municipal Power - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,4/23/2009,5/20/2024
Local Option - Municipal Energy Districts,CA,Financial Incentive,PACE Financing,7/14/2009,1/16/2024
Sales and Use Tax Exclusion for Advanced Transportation and Alternative Energy Manufacturing Program,CA,Financial Incentive,Industry Recruitment/Support,3/29/2010,2/25/2025
City of San Francisco - GreenFinanceSF,CA,Financial Incentive,PACE Financing,4/16/2010,9/21/2021
SCE - Non-Residential On-Bill Financing Program,CA,Financial Incentive,Loan Program,7/13/2010,8/3/2023
PG&E - Multifamily Residential Energy Savings Rebate Program,CA,Financial Incentive,Rebate Program,7/16/2010,8/11/2023
SCE - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,5/3/2006,8/3/2023
Energy Efficiency Resource Standard,CA,Regulatory Policy,Energy Efficiency Resource Standard,12/21/2010,5/24/2024
Lodi Electric Utility - Commercial Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,7/19/2006,6/3/2025
City of Los Angeles - Green Building Retrofit Requirement,CA,Regulatory Policy,Energy Standards for Public Buildings,3/24/2011,6/21/2024
Homebuyer Solar Option and Solar Offset Program,CA,Regulatory Policy,Building Energy Code,3/28/2011,5/16/2025
City of San Diego - Sustainable Building Expedited Permit Program,CA,Financial Incentive,Green Building Incentive,4/25/2011,7/9/2024
City of San Jose - Private Sector Green Building Policy,CA,Regulatory Policy,Building Energy Code,4/26/2011,7/16/2024
Anaheim Public Utilities - Commercial & Industrial New Construction Rebate Program,CA,Financial Incentive,Rebate Program,6/23/2006,8/4/2023
LADWP - Net Metering,CA,Regulatory Policy,Net Metering,6/7/2011,3/21/2025
Los Angeles County - Green Building Program,CA,Regulatory Policy,Building Energy Code,6/17/2011,6/8/2020
PG&E - Non-Residential Energy Efficiency Rebates,CA,Financial Incentive,Rebate Program,4/24/2006,8/2/2023
San Diego County - Wind Regulations,CA,Regulatory Policy,Solar/Wind Permitting Standards,7/20/2011,5/24/2024
San Diego County - Design Standards for County Facilities,CA,Regulatory Policy,Energy Standards for Public Buildings,7/20/2011,6/21/2024
Orange County - Development Standards for Small Wind Energy Systems,CA,Regulatory Policy,Solar/Wind Permitting Standards,7/20/2011,5/24/2024
Riverside County - Sustainable Building Policy,CA,Regulatory Policy,Energy Standards for Public Buildings,7/26/2011,6/21/2024
SoCalGas - Custom Non-Residential Energy Efficiency Program,CA,Financial Incentive,Rebate Program,5/3/2006,8/11/2023
Santa Clara County - Zoning Ordinance,CA,Regulatory Policy,Solar/Wind Permitting Standards,8/19/2011,5/24/2024
Santa Clara County - Green Building Policy for County Government Buildings,CA,Regulatory Policy,Energy Standards for Public Buildings,8/25/2011,6/25/2024
Energy Efficiency Financing for Public Sector Projects,CA,Financial Incentive,Loan Program,3/21/2012,6/30/2025
Western Riverside Council of Governments - Home Energy Renovation Opportunity (HERO) Financing Program,CA,Financial Incentive,PACE Financing,5/21/2012,1/15/2024
CaliforniaFIRST,CA,Financial Incentive,PACE Financing,9/27/2012,12/27/2023
Statewide Solar Permitting Standards,CA,Regulatory Policy,Solar/Wind Permitting Standards,10/5/2012,11/1/2024
Partial Sales and Use Tax Exemption for Agricultural Solar Power Facilities,CA,Financial Incentive,Sales Tax Incentive,12/13/2012,3/21/2025
PG&E - Non-Residential Energy Efficiency Financing Program,CA,Financial Incentive,Loan Program,11/18/2014,8/2/2023
City of Lancaster - Mandatory Solar Requirement for New Homes,CA,Regulatory Policy,Building Energy Code,11/26/2014,6/8/2020
City of Sebastopol - Mandatory Solar Requirement for Residential and Commercial Buildings,CA,Regulatory Policy,Building Energy Code,11/26/2014,6/8/2020
Renewable Market Adjusting Tariff (ReMAT),CA,Financial Incentive,Feed-in Tariff,2/3/2015,5/24/2024
LADWP - Feed-in Tariff (FiT) Program,CA,Financial Incentive,Feed-in Tariff,2/19/2015,3/21/2025
Lodi Electric Utility - Commercial and Industrial Energy Efficiency Loan Program,CA,Financial Incentive,Loan Program,1/14/2016,6/3/2025
City of Fresno - Installation of Solar Energy Systems in Construction of New City-owned Buildings,CA,Regulatory Policy,Energy Standards for Public Buildings,9/6/2016,6/17/2024
San Bernardino County   Accessory Wind Energy System Permit,CA,Regulatory Policy,Solar/Wind Permitting Standards,9/6/2016,9/19/2024
Los Angeles County - WECS-N and Temp Met Towers,CA,Regulatory Policy,Solar/Wind Permitting Standards,9/6/2016,8/17/2023
San Bernardino County - Solar Energy Development Standards,CA,Regulatory Policy,Solar/Wind Permitting Standards,9/6/2016,8/17/2023
City of San Francisco - Green Building and Efficiency/Electrification Requirements for City Buildings,CA,Regulatory Policy,Energy Standards for Public Buildings,9/8/2016,6/18/2024
City of Long Beach - Green Building Policy for Municipal Buildings,CA,Regulatory Policy,Energy Standards for Public Buildings,9/13/2016,6/18/2024
City of Oakland - Green Building Policies and Requirements,CA,Regulatory Policy,Building Energy Code,9/13/2016,6/8/2020
Santa Clara County - Solar Access Easements,CA,Regulatory Policy,Solar/Wind Access Policy,9/20/2016,10/20/2023
Santa Clara County - County Green Building Standards Code,CA,Regulatory Policy,Building Energy Code,9/22/2016,6/8/2020
Sales and Use Tax Exemption for Electric Power Generation and Storage Equipment,CA,Financial Incentive,Sales Tax Incentive,2/8/2018,3/21/2025
Burbank Water and Power - LEED Certification Incentive Program,CA,Financial Incentive,Rebate Program,2/20/2019,6/3/2025
Plumas-Sierra REC - Commercial and Irrigation Rebate Program,CA,Financial Incentive,Rebate Program,2/21/2019,6/3/2025
Silicon Valley Power - Emerging Technologies Grant Program,CA,Financial Incentive,Grant Program,2/27/2019,8/11/2023
Turlock Irrigation District - Commercial Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,3/21/2019,8/11/2023
Marin County - Natural Gas Appliance Replacement Rebate Program,CA,Financial Incentive,Rebate Program,7/1/2019,5/18/2023
Energy Storage Procurement Target,CA,Regulatory Policy,Energy Storage Target,2/26/2020,11/26/2024
Clean Transportation Program,CA,Financial Incentive,Grant Program,5/20/2021,6/13/2023
California Electric Vehicle Infrastructure Project (CALeVIP),CA,Financial Incentive,Rebate Program,5/20/2021,5/7/2025
Partial Sales and Use Tax Exemption for Zero-Emission Transit Buses,CA,Financial Incentive,Sales Tax Incentive,5/21/2021,2/25/2025
Hybrid and Zero-Emission Truck and Bus Voucher Incentive Project (HVIP),CA,Financial Incentive,Rebate Program,5/21/2021,2/25/2025
Alameda Municipal Power - Electric Vehicle Rebate Program,CA,Financial Incentive,Rebate Program,7/2/2021,1/28/2025
Anaheim Public Utilities - Personal Use EV Charger Rebates,CA,Financial Incentive,Rebate Program,7/2/2021,1/28/2025
Anaheim Public Utilities - Public Access EV Charger Rebate,CA,Financial Incentive,Rebate Program,7/2/2021,1/28/2025
Anaheim Public Utilities - EV Fleet Charger and Infrastructure Rebate,CA,Financial Incentive,Rebate Program,7/2/2021,1/28/2025
Azusa Light & Water - EV Charger Rebate,CA,Financial Incentive,Rebate Program,7/3/2021,6/9/2025
Burbank Water and Power - Electric Vehicle Charger Rebate,CA,Financial Incentive,Rebate Program,7/3/2021,1/28/2025
